# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Aug  5 04:42:23 2024
#
# User preference: *
#
# CONSTRAINT:  where (pl_name_display like '% b%'   nejvnitrnejsi planety
# CONSTRAINT:  and pl_orbperstr not null            znama perioda obehu
# CONSTRAINT:  and pl_orbsmaxstr not null           znama hl. poloosa
# CONSTRAINT:  and pl_radestr not null              znamy polomer planety
# CONSTRAINT:  and pl_bmassestr not null            znama hmotnost planety
# CONSTRAINT:  and pl_bmassprov like '%mass%'       hmotnost dokazana
# CONSTRAINT:  and pl_orbeccenstr not null)         znama vystrednost
#
# COLUMN pl_name:        Planet Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
#
pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,ttv_flag,st_mass,st_masserr1,st_masserr2,st_masslim
Kepler-63 b,1,1,Transit,2013,0,9.43415050,0.00000100,-0.00000100,0,0.080000,0.002000,-0.002000,0,6.110,0.200,-0.200,0,0.545,0.018,-0.018,0,120.00000,,,1,0.37800,,,1,Mass,0.450000,,,1,0,0.98,0.04,-0.04,0
Kepler-643 b,1,1,Transit,2016,0,16.33889626,0.00001826,-0.00001826,0,0.126000,,,0,10.160,0.350,-0.270,0,0.906,0.031,-0.024,0,321.00830,63.56600,-63.56600,0,1.01000,0.20000,-0.20000,0,Mass,0.370000,0.060000,-0.060000,0,0,1.00,0.07,-0.04,0
Kepler-65 b,1,4,Transit,2012,0,2.15491000,0.00000500,-0.00000500,0,0.035000,0.002000,-0.001000,0,1.420,0.030,-0.030,0,0.127,0.003,-0.003,0,2.40000,2.40000,-1.60000,0,0.00760,0.00770,-0.00510,0,Mass,0.028000,0.031000,-0.020000,0,0,1.25,0.06,-0.06,0
Kepler-68 b,2,4,Transit,2013,0,5.39875259,0.00000052,-0.00000052,0,0.061350,0.000430,-0.000430,0,2.357,0.023,-0.023,0,0.210,0.002,-0.002,0,8.03000,0.67000,-0.67000,0,0.02527,0.00211,-0.00211,0,Mass,0.090000,,,1,0,1.06,0.02,-0.02,0
Kepler-7 b,1,1,Transit,2009,0,4.88548920,0.00000090,-0.00000090,0,0.060670,0.000590,-0.000590,0,18.181,0.146,-0.146,0,1.622,0.013,-0.013,0,140.16303,13.66669,-13.34886,0,0.44100,0.04300,-0.04200,0,Mass,0.000000,,,0,0,1.36,0.03,-0.03,0
Kepler-74 b,1,1,Transit,2013,0,7.34071100,0.00000600,-0.00000600,0,0.078100,0.000700,-0.000700,0,10.760,0.220,-0.220,0,0.960,0.020,-0.020,0,200.22000,38.14000,-38.14000,0,0.63000,0.12000,-0.12000,0,Mass,0.000000,,,0,0,1.18,0.04,-0.04,0
Kepler-75 b,1,1,Transit,2013,0,8.88491160,0.00000340,-0.00000340,0,0.081800,0.001200,-0.001200,0,11.770,0.340,-0.340,0,1.050,0.030,-0.030,0,3209.90000,127.10000,-127.10000,0,10.10000,0.40000,-0.40000,0,Mass,0.570000,0.010000,-0.010000,0,0,0.91,0.04,-0.04,0
Kepler-76 b,1,1,Orbital Brightness Modulation,2013,0,1.54492980,0.00000040,-0.00000040,0,0.027400,0.002000,-0.001900,0,15.244,1.345,-1.345,0,1.360,0.120,-0.120,0,638.83830,117.59710,-111.24050,0,2.01000,0.37000,-0.35000,0,Mass,0.000000,,,0,0,1.20,0.20,-0.20,0
Kepler-77 b,1,1,Transit,2013,0,3.57878087,0.00000023,-0.00000023,0,0.045010,0.000630,-0.000630,0,10.761,0.179,-0.179,0,0.960,0.016,-0.016,0,136.66100,10.17000,-10.17000,0,0.43000,0.03200,-0.03200,0,Mass,0.000000,,,0,0,0.95,0.04,-0.04,0
Kepler-78 b,2,1,Transit,2013,0,0.35500745,0.00000008,-0.00000008,0,0.009010,0.000120,-0.000190,0,1.201,0.028,-0.028,0,0.107,0.002,-0.002,0,1.68000,0.27000,-0.27000,0,0.00529,0.00085,-0.00085,0,Mass,0.000000,,,0,0,0.78,0.03,-0.05,0
Kepler-79 b,1,4,Transit,2012,0,13.48450000,0.00020000,-0.00020000,0,0.117000,0.002000,-0.002000,0,3.470,0.070,-0.070,0,0.310,0.006,-0.006,0,10.90000,7.40000,-6.00000,0,0.03430,0.02300,-0.01900,0,Mass,0.015000,0.012000,-0.006000,0,1,1.17,0.04,-0.04,0
Kepler-8 b,1,1,Transit,2010,0,3.52249910,0.00000070,-0.00000070,0,0.047400,0.001800,-0.002100,0,15.872,0.594,-0.695,0,1.416,0.053,-0.062,0,187.51970,41.31790,-38.13960,0,0.59000,0.13000,-0.12000,0,Mass,0.000000,,,0,0,1.21,0.07,-0.06,0
Kepler-80 b,1,6,Transit,2012,0,7.05246000,0.00020000,-0.00022000,0,0.064800,0.000900,-0.000900,0,2.670,0.100,-0.100,0,0.238,0.009,-0.009,0,6.93000,1.05000,-0.70000,0,0.02180,0.00330,-0.00220,0,Mass,0.000000,,,0,1,0.73,0.03,-0.03,0
Kepler-81 b,1,3,Transit,2012,0,5.95500000,,,0,0.052200,0.002210,-0.002210,0,2.420,0.380,-0.380,0,0.216,0.034,-0.034,0,17.20000,6.30000,-5.50000,0,0.05400,0.02000,-0.01700,0,Mass,0.000000,,,0,1,0.64,0.38,-0.23,0
Kepler-82 b,1,5,Transit,2012,0,26.44000000,0.48000000,-0.48000000,0,0.168300,0.002000,-0.002000,0,4.070,0.240,-0.100,0,0.363,0.021,-0.009,0,12.15000,0.96000,-0.87000,0,0.03823,0.00302,-0.00274,0,Mass,0.003300,0.001900,-0.000170,0,1,0.91,0.03,-0.03,0
Kepler-83 b,2,3,Transit,2012,0,9.77000000,,,0,0.072950,0.002840,-0.002840,0,2.830,0.410,-0.410,0,0.252,0.037,-0.037,0,42.10000,24.90000,-20.90000,0,0.13200,0.07800,-0.06600,0,Mass,0.000000,,,0,1,0.66,0.41,-0.25,0
Kepler-84 b,1,5,Transit,2012,0,8.72600000,,,0,0.082700,,,0,2.230,0.100,-0.100,0,0.199,0.009,-0.009,0,40.00000,13.70000,-10.30000,0,0.12600,0.04300,-0.03200,0,Mass,0.000000,,,0,1,1.00,0.42,-0.29,0
Kepler-849 b,1,1,Transit,2016,0,394.62508000,0.00081000,-0.00079000,0,1.137000,0.034000,-0.030000,0,8.082,0.303,-0.325,0,0.721,0.027,-0.029,0,298.75870,63.56568,-63.56568,0,0.94000,0.20000,-0.20000,0,Mass,0.078000,0.069000,-0.053000,0,0,1.26,0.12,-0.10,0
Kepler-85 b,1,4,Transit,2012,0,8.30000000,,,0,0.076600,,,0,1.778,0.050,-0.050,0,0.159,0.004,-0.004,0,1.84000,0.60000,-0.47000,0,0.00579,0.00189,-0.00148,0,Mass,0.020000,0.028000,-0.016000,0,1,0.93,0.04,-0.04,0
Kepler-87 b,1,2,Transit,2013,0,114.73635000,0.00015000,-0.00015000,0,0.481000,0.026000,-0.028000,0,13.490,0.550,-0.550,0,1.204,0.049,-0.049,0,324.20000,8.80000,-8.80000,0,1.02000,0.02800,-0.02800,0,Mass,0.036000,0.009000,-0.009000,0,1,1.10,0.05,-0.05,0
Kepler-9 b,1,3,Transit,2010,0,19.23891000,0.00006000,-0.00006000,0,0.143000,0.007000,-0.006000,0,8.290,0.540,-0.430,0,0.740,0.048,-0.038,0,43.40000,1.60000,-2.00000,0,0.13655,0.00503,-0.00629,0,Mass,0.060900,0.001000,-0.001300,0,1,1.02,0.03,-0.04,0
Kepler-91 b,1,1,Transit,2013,0,6.24658000,0.00008000,-0.00008000,0,0.073100,0.003400,-0.003100,0,15.323,0.773,-0.673,0,1.367,0.069,-0.060,0,257.44230,57.20940,-54.03110,0,0.81000,0.18000,-0.17000,0,Mass,0.051900,0.009500,-0.008800,0,0,1.31,0.10,-0.10,0
Kepler-92 b,1,3,Transit,2013,0,13.74900000,,,0,0.122268,,,0,3.510,0.100,-0.100,0,0.313,0.009,-0.009,0,64.30000,13.90000,-13.90000,0,0.20200,0.04400,-0.04400,0,Mass,0.170000,0.100000,-0.170000,0,1,1.21,0.08,-0.08,0
Kepler-93 b,1,2,Transit,2014,0,4.72673978,0.00000097,-0.00000097,0,0.053430,0.000650,-0.000650,0,1.478,0.019,-0.019,0,0.132,0.002,-0.002,0,4.66000,0.53000,-0.53000,0,0.01466,0.00167,-0.00167,0,Mass,0.000000,,,0,0,0.91,0.03,-0.03,0
Kepler-94 b,1,2,Transit,2014,0,2.50806000,,,0,0.031060,0.001290,-0.001290,0,3.510,0.150,-0.150,0,0.313,0.013,-0.013,0,10.84000,1.40000,-1.40000,0,0.03400,0.00400,-0.00400,0,Mass,0.000000,,,0,0,0.81,0.06,-0.06,0
Kepler-95 b,1,1,Transit,2014,0,11.52310000,,,0,0.102279,,,0,3.420,0.090,-0.090,0,0.305,0.008,-0.008,0,13.00000,2.90000,-2.90000,0,0.04100,0.00900,-0.00900,0,Mass,0.000000,,,0,0,1.08,0.08,-0.08,0
Kepler-96 b,1,1,Transit,2014,0,16.23850000,,,0,0.126039,,,0,2.670,0.220,-0.220,0,0.238,0.020,-0.020,0,8.46000,3.40000,-3.40000,0,0.02700,0.01100,-0.01100,0,Mass,0.000000,,,0,0,1.00,0.06,-0.06,0
Kepler-97 b,1,2,Transit,2014,0,2.58664000,,,0,0.035618,,,0,1.480,0.130,-0.130,0,0.132,0.012,-0.012,0,3.51000,1.90000,-1.90000,0,0.01100,0.00600,-0.00600,0,Mass,0.000000,,,0,0,0.94,0.06,-0.06,0
Kepler-98 b,1,1,Transit,2014,0,1.54168000,,,0,0.026126,,,0,1.990,0.220,-0.220,0,0.178,0.020,-0.020,0,3.55000,1.60000,-1.60000,0,0.01100,0.00500,-0.00500,0,Mass,0.000000,,,0,0,0.99,0.06,-0.06,0
Kepler-99 b,2,1,Transit,2014,0,4.60358000,,,0,0.050692,,,0,1.480,0.080,-0.080,0,0.132,0.007,-0.007,0,6.15000,1.30000,-1.30000,0,0.01900,0.00400,-0.00400,0,Mass,0.000000,,,0,0,0.79,0.06,-0.06,0
L 168-9 b,1,1,Transit,2020,0,1.40150000,0.00018000,-0.00018000,0,0.020910,0.000240,-0.000240,0,1.390,0.090,-0.090,0,0.124,0.008,-0.008,0,4.60000,0.56000,-0.56000,0,0.01447,0.00176,-0.00176,0,Mass,0.210000,,,1,0,0.62,0.03,-0.03,0
L 98-59 b,1,4,Transit,2019,0,2.25311360,0.00000120,-0.00000150,0,0.021910,0.000800,-0.000840,0,0.850,0.061,-0.047,0,0.076,0.005,-0.004,0,0.40000,0.16000,-0.15000,0,0.00126,0.00050,-0.00047,0,Mass,0.103000,0.117000,-0.045000,0,0,0.27,0.03,-0.03,0
LHS 1140 b,1,2,Transit,2017,0,24.73723000,0.00002000,-0.00002000,0,0.094600,0.001700,-0.001700,0,1.730,0.025,-0.025,0,0.154,0.002,-0.002,0,5.60000,0.19000,-0.19000,0,0.01762,0.00060,-0.00060,0,Mass,0.043000,,,1,0,0.18,0.00,0.00,0
LHS 1678 b,2,3,Transit,2021,0,0.86023250,0.00000130,-0.00000110,0,0.012390,0.000560,-0.000570,0,0.685,0.037,-0.035,0,0.061,0.003,-0.003,0,0.35000,,,1,0.00110,,,1,Mass,0.033000,0.035000,-0.023000,0,0,0.35,0.01,-0.01,0
LHS 1815 b,1,1,Transit,2020,0,3.81433400,0.00008400,-0.00008400,0,0.040400,0.009400,-0.009400,0,1.088,0.064,-0.064,0,0.097,0.006,-0.006,0,1.58000,0.64000,-0.60000,0,0.00497,0.00201,-0.00189,0,Mass,0.000000,,,0,0,0.50,0.02,-0.02,0
LP 714-47 b,1,1,Transit,2020,0,4.05203700,0.00000400,-0.00000400,0,0.041700,0.000500,-0.000500,0,4.700,0.300,-0.300,0,0.419,0.027,-0.027,0,30.80000,1.50000,-1.50000,0,0.09691,0.00472,-0.00472,0,Mass,0.040000,0.020000,-0.020000,0,0,0.59,0.02,-0.02,0
LTT 1445 A b,3,2,Transit,2019,0,5.35876000,0.00001000,-0.00001000,0,0.022000,0.003000,-0.003000,0,1.180,0.060,-0.060,0,0.105,0.005,-0.005,0,2.73000,0.25000,-0.23000,0,0.00859,0.00079,-0.00072,0,Mass,0.190000,0.350000,-0.140000,0,0,0.26,0.01,-0.01,0
LTT 3780 b,2,2,Transit,2020,0,0.76837931,0.00000039,-0.00000042,0,0.011950,0.000280,-0.000290,0,1.325,0.057,-0.058,0,0.118,0.005,-0.005,0,2.46000,0.19000,-0.19000,0,0.00774,0.00060,-0.00060,0,Mass,0.000000,,,0,0,0.38,0.02,-0.03,0
LTT 9779 b,1,1,Transit,2020,0,0.79205200,0.00000930,-0.00000930,0,0.016790,0.000140,-0.000120,0,4.720,0.230,-0.230,0,0.421,0.021,-0.021,0,29.32000,0.78000,-0.81000,0,0.09225,0.00245,-0.00255,0,Mass,0.000000,,,0,0,0.77,0.29,-0.21,0
Luhman 16 b,1,1,Imaging,2017,0,9697.00000000,1790.00000000,-1534.00000000,0,3.520000,0.430000,-0.400000,0,11.900,,,0,1.060,,,0,9344.15517,63.56568,-63.56568,0,29.40000,0.20000,-0.20000,0,Mass,0.344000,0.050000,-0.090000,0,0,0.03,0.00,0.00,0
Lupus-TR-3 b,1,1,Transit,2007,0,3.91405000,0.00004000,-0.00004000,0,0.046400,0.000700,-0.000700,0,9.976,0.785,-0.785,0,0.890,0.070,-0.070,0,257.43100,57.20700,-57.20700,0,0.81000,0.18000,-0.18000,0,Mass,0.000000,,,0,0,0.87,0.04,,0
MASCARA-1 b,1,1,Transit,2017,0,2.14877381,0.00000088,-0.00000087,0,0.040352,0.000046,-0.000049,0,17.901,0.202,-0.213,0,1.597,0.018,-0.019,0,1175.97100,286.04700,-286.04700,0,3.70000,0.90000,-0.90000,0,Mass,0.000340,0.000340,-0.000230,0,0,1.90,0.06,-0.07,0
MASCARA-4 b,2,1,Transit,2020,0,2.82406000,0.00003000,-0.00003000,0,0.047000,0.004000,-0.004000,0,17.150,0.785,-0.448,0,1.530,0.070,-0.040,0,985.27300,286.04700,-286.04700,0,3.10000,0.90000,-0.90000,0,Mass,0.000000,,,0,0,1.75,0.05,-0.05,0
NGTS-1 b,1,1,Transit,2017,0,2.64729800,0.00002000,-0.00002000,0,0.032600,0.004700,-0.004500,0,14.908,6.837,-3.699,0,1.330,0.610,-0.330,0,258.07796,20.97678,-23.83725,0,0.81200,0.06600,-0.07500,0,Mass,0.016000,0.023000,-0.012000,0,0,0.62,0.02,-0.06,0
NGTS-10 b,1,1,Transit,2020,0,0.76689440,0.00000030,-0.00000030,0,0.014300,0.001000,-0.001000,0,13.507,1.311,-0.930,0,1.205,0.117,-0.083,0,687.14846,29.24036,-34.00781,0,2.16200,0.09200,-0.10700,0,Mass,0.000000,,,0,0,0.70,0.04,-0.04,0
NGTS-11 b,1,1,Transit,2020,0,35.45533000,0.00019000,-0.00019000,0,0.201000,0.002100,-0.002200,0,9.158,0.314,-0.359,0,0.817,0.028,-0.032,0,109.33352,29.24036,-23.20159,0,0.34400,0.09200,-0.07300,0,Mass,0.130000,0.100000,-0.090000,0,0,0.86,0.03,-0.03,0
NGTS-12 b,1,1,Transit,2020,0,7.53280600,0.00004800,-0.00004800,0,0.075700,0.001400,-0.001400,0,11.747,0.359,-0.359,0,1.048,0.032,-0.032,0,66.10864,6.99226,-6.99226,0,0.20800,0.02200,-0.02200,0,Mass,0.000000,,,0,0,1.02,0.06,-0.05,0
NGTS-13 b,1,1,Transit,2021,0,4.11902700,0.00002300,-0.00002300,0,0.054900,0.001500,-0.002500,0,12.801,0.516,-0.516,0,1.142,0.046,-0.046,0,1538.29720,139.84520,-139.84520,0,4.84000,0.44000,-0.44000,0,Mass,0.086000,0.034000,-0.034000,0,0,1.30,0.11,-0.18,0
NGTS-14 A b,2,1,Transit,2021,0,3.53571730,0.00000690,-0.00000690,0,0.040300,0.007100,-0.007100,0,4.977,0.336,-0.336,0,0.444,0.030,-0.030,0,29.24036,3.81396,-3.81396,0,0.09200,0.01200,-0.01200,0,Mass,0.000000,,,0,0,0.90,0.04,-0.04,0
NGTS-15 b,1,1,Transit,2021,0,3.27623000,0.00001000,-0.00001000,0,0.044100,0.004600,-0.004600,0,12.330,1.121,-1.121,0,1.100,0.100,-0.100,0,238.68913,32.41850,-27.96890,0,0.75100,0.10200,-0.08800,0,Mass,0.000000,,,0,0,0.99,0.03,-0.03,0
NGTS-16 b,1,1,Transit,2021,0,4.84532000,0.00002000,-0.00002000,0,0.052300,0.006400,-0.006400,0,14.572,1.457,-1.345,0,1.300,0.130,-0.120,0,211.99155,49.89906,-40.99986,0,0.66700,0.15700,-0.12900,0,Mass,0.000000,,,0,0,1.00,0.03,-0.03,0
NGTS-17 b,1,1,Transit,2021,0,3.24253000,0.00001000,-0.00001000,0,0.039100,0.004300,-0.004300,0,13.899,1.233,-1.233,0,1.240,0.110,-0.110,0,242.82090,61.97654,-52.12386,0,0.76400,0.19500,-0.16400,0,Mass,0.000000,,,0,0,1.02,0.03,-0.03,0
NGTS-18 b,1,1,Transit,2021,0,3.05125000,0.00001000,-0.00001000,0,0.044800,0.006800,-0.006800,0,13.563,2.018,-2.018,0,1.210,0.180,-0.180,0,129.99182,25.74410,-20.02319,0,0.40900,0.08100,-0.06300,0,Mass,0.000000,,,0,0,1.00,0.03,-0.03,0
NGTS-2 b,1,1,Transit,2018,0,4.51116400,0.00006100,-0.00006100,0,0.063000,0.002400,-0.003000,0,17.878,0.527,-0.504,0,1.595,0.047,-0.045,0,235.19420,41.31790,-38.13960,0,0.74000,0.13000,-0.12000,0,Mass,0.000000,,,0,0,1.64,0.19,-0.22,0
NGTS-20 b,1,1,Transit,2022,0,54.18915000,0.00015000,-0.00015000,0,0.313000,0.013000,-0.013000,0,11.994,0.448,-0.448,0,1.070,0.040,-0.040,0,947.12865,50.85255,-47.67426,0,2.98000,0.16000,-0.15000,0,Mass,0.432000,0.023000,-0.023000,0,0,1.47,0.09,-0.09,0
NGTS-21 b,1,1,Transit,2022,0,1.54338970,0.00000160,-0.00000160,0,0.023600,0.000500,-0.000500,0,14.908,0.336,-0.336,0,1.330,0.030,-0.030,0,750.07504,66.74397,-66.74397,0,2.36000,0.21000,-0.21000,0,Mass,0.000000,,,0,0,0.72,0.04,-0.04,0
NGTS-23 b,1,1,Transit,2022,0,4.07643260,0.00000410,-0.00000410,0,0.050400,0.012000,-0.012000,0,14.202,0.336,-0.336,0,1.267,0.030,-0.030,0,194.82881,30.82936,-30.82936,0,0.61300,0.09700,-0.09700,0,Mass,0.000000,,,0,0,1.01,0.06,-0.07,0
NGTS-24 b,1,1,Transit,2022,0,3.46787960,0.00000700,-0.00000700,0,0.047900,0.002800,-0.003000,0,13.608,0.650,-0.695,0,1.214,0.058,-0.062,0,165.27077,38.13941,-34.96112,0,0.52000,0.12000,-0.11000,0,Mass,0.000000,,,0,0,1.26,0.05,-0.21,0
NGTS-25 b,1,1,Transit,2022,0,2.82309300,0.00000330,-0.00000330,0,0.038800,0.001400,-0.002000,0,11.467,0.392,-0.583,0,1.023,0.035,-0.052,0,203.09235,18.43405,-16.52708,0,0.63900,0.05800,-0.05200,0,Mass,0.000000,,,0,0,0.91,0.03,-0.04,0
NGTS-26 b,1,1,Transit,2024,0,4.51992790,0.00000900,-0.00000920,0,0.049000,0.003800,-0.003200,0,14.886,0.661,-0.538,0,1.328,0.059,-0.048,0,92.80589,20.65885,-19.06970,0,0.29200,0.06500,-0.06000,0,Mass,0.000000,,,0,0,0.96,0.04,-0.03,0
NGTS-27 b,1,1,Transit,2024,0,3.37041810,0.00000590,-0.00000570,0,0.044600,0.002600,-0.003600,0,15.648,0.426,-0.392,0,1.396,0.038,-0.035,0,188.47225,30.19370,-22.88365,0,0.59300,0.09500,-0.07200,0,Mass,0.000000,,,0,0,1.07,0.06,-0.06,0
NGTS-30 b,1,1,Transit,2024,0,98.29838000,0.00010000,-0.00009000,0,0.408000,0.019000,-0.019000,0,10.402,0.359,-0.359,0,0.928,0.032,-0.032,0,305.11527,17.79839,-17.79839,0,0.96000,0.05600,-0.05600,0,Mass,0.294000,0.014000,-0.010000,0,0,0.94,0.06,-0.06,0
NGTS-4 b,1,1,Transit,2019,0,1.33735080,0.00000800,-0.00000800,0,0.019000,0.005000,-0.005000,0,3.180,0.260,-0.260,0,0.284,0.023,-0.023,0,20.60000,3.00000,-3.00000,0,0.06481,0.00944,-0.00944,0,Mass,0.000000,,,0,0,0.75,0.02,-0.02,0
NGTS-5 b,1,1,Transit,2019,0,3.35698660,0.00000260,-0.00000260,0,0.038200,0.001300,-0.001300,0,12.733,0.258,-0.258,0,1.136,0.023,-0.023,0,72.78307,11.75971,-11.75971,0,0.22900,0.03700,-0.03700,0,Mass,0.000000,,,0,0,0.66,0.07,-0.06,0
NGTS-6 b,1,1,Transit,2019,0,0.88205900,0.00000080,-0.00000080,0,0.016770,0.000320,-0.000320,0,14.863,1.087,-1.255,0,1.326,0.097,-0.112,0,425.57437,8.89924,-8.89924,0,1.33900,0.02800,-0.02800,0,Mass,0.000000,,,0,0,0.77,0.03,-0.03,0
NGTS-8 b,1,1,Transit,2019,0,2.49970000,0.00001000,-0.00001000,0,0.035000,0.001000,-0.001000,0,12.218,0.336,-0.336,0,1.090,0.030,-0.030,0,295.58190,12.71320,-9.53490,0,0.93000,0.04000,-0.03000,0,Mass,0.010000,0.014000,-0.010000,0,0,0.89,0.05,-0.04,0
NGTS-9 b,1,1,Transit,2019,0,4.43527000,0.00002000,-0.00002000,0,0.058000,0.003000,-0.002000,0,11.994,0.673,-0.673,0,1.070,0.060,-0.060,0,921.70700,54.03110,-54.03110,0,2.90000,0.17000,-0.17000,0,Mass,0.060000,0.076000,-0.052000,0,0,1.34,0.05,-0.05,0
NY Vir b,2,2,Eclipse Timing Variations,2011,0,3160.00000000,62.00000000,-62.00000000,0,3.300000,,,0,13.300,,,0,1.190,,,0,730.97800,95.34500,-95.34500,0,2.30000,0.30000,-0.30000,0,Mass,0.150000,0.080000,-0.080000,0,0,0.46,0.01,-0.01,0
OGLE-2016-BLG-1190L b,1,1,Microlensing,2017,0,1220.00000000,1900.00000000,-300.00000000,0,2.170000,1.870000,-0.380000,0,12.300,,,0,1.100,,,0,4253.00000,280.00000,-260.00000,0,13.38000,0.88000,-0.82000,0,Mass,0.420000,0.130000,-0.230000,0,0,0.88,0.06,-0.05,0
OGLE-2018-BLG-0740L b,1,1,Microlensing,2019,0,5480.00000000,1200.00000000,-1200.00000000,0,5.000000,0.300000,-0.300000,0,12.900,,,0,1.150,,,0,1500.00000,200.00000,-200.00000,0,4.80000,0.60000,-0.60000,0,Mass,0.000000,,,0,0,1.00,0.10,-0.10,0
OGLE-TR-10 b,1,1,Transit,2004,0,3.10127800,,,0,0.043400,0.001300,-0.001500,0,14.011,1.569,-1.345,0,1.250,0.140,-0.120,0,197.04600,44.49400,-44.49400,0,0.62000,0.14000,-0.14000,0,Mass,0.820000,,,1,0,1.14,0.12,,0
OGLE-TR-111 b,1,1,Transit,2004,0,4.01444630,0.00000100,-0.00000100,0,0.047300,0.001500,-0.001400,0,11.422,0.291,-0.291,0,1.019,0.026,-0.026,0,174.79900,31.78200,-31.78200,0,0.55000,0.10000,-0.10000,0,Mass,0.540000,,,1,0,0.82,0.02,-0.02,0
OGLE-TR-113 b,1,1,Transit,2004,0,1.43247520,,,0,0.022890,0.000160,-0.000150,0,12.251,0.314,-0.213,0,1.093,0.028,-0.019,0,400.44900,50.85100,-50.85100,0,1.26000,0.16000,-0.16000,0,Mass,0.150000,,,1,0,0.78,0.02,,0
OGLE-TR-132 b,1,1,Transit,2004,0,1.68986800,,,0,0.030350,0.000570,-0.000530,0,13.450,1.680,-1.230,0,1.200,0.150,-0.110,0,375.02000,44.49000,-41.32000,0,1.18000,0.14000,-0.13000,0,Mass,0.600000,,,1,0,1.30,0.07,-0.07,0
OGLE-TR-182 b,1,1,Transit,2007,0,3.97910000,0.00001000,-0.00001000,0,0.051000,0.001000,-0.001000,0,12.666,2.690,-0.897,0,1.130,0.240,-0.080,0,320.99500,47.67200,-47.67200,0,1.01000,0.15000,-0.15000,0,Mass,0.000000,,,0,0,1.14,0.05,,0
OGLE-TR-211 b,1,1,Transit,2007,0,3.67724000,0.00003000,-0.00003000,0,0.051000,0.001000,-0.001000,0,15.244,2.018,-1.009,0,1.360,0.180,-0.090,0,327.35100,63.56300,-63.56300,0,1.03000,0.20000,-0.20000,0,Mass,0.000000,,,0,0,1.33,0.05,,0
